,category,subtopic,speaker,content
21,0,2,9d9ff2,Terima kasih. Dipersilakan Yang Berhormat Timbalan Menteri.
22,0,2,ba6808,"Terima kasih Yang Berhormat atas keprihatinan Yang Berhormat terhadap anggota polis yang menjaga keselamatan dan ketenteraman awam di dalam negara kita. Terima kasih Yang Berhormat.
Memang Kementerian Dalam Negeri sentiasa memikirkan setiap- sama ada daripada segi tangga gaji dan juga elaun dan juga kebajikan semua anggota di bawah Kementerian Dalam Negeri, terutama Polis Diraja Malaysia. Saya hendak sebut Yang Berhormat, selain daripada kenaikan gaji, kita juga membincangkan tentang taraf pendidikan semasa memohon konstabel tersebut.  Dahulu saya sebut Tingkatan 3, atau Sijil Rendah Persekolahan. Sekarang kita ambil daripada SPM. Maka dengan itu kenaikan gaji mestinya berubah. Saya ambil contoh, walaupun gaji permulaan RM1,220 saya ambil contoh, tentang elaun-elaun yang didapati atau diperoleh oleh konstabel atau pegawai rendah polis. Contoh, kalau anggota konstabel baharu memulakan perkhidmatan, ditempatkan di Briged Tengah PGA Kuala Lumpur. Selain gaji permulaan RM1,441 mengikut taraf kemasukan pendidikan dan juga akan turut menerima elaun sebanyak RM1,500. Selain daripada gaji, menerima elaun RM1,500, iaitu Elaun PGA RM400, Elaun Bantuan Insentif Tugas Am (BITA) RM200, Elaun Perumahan RM300, Elaun Imbuhan Tetap RM300, Elaun Bantuan Sara Hidup (COLA) RM300 dan juga Elaun Khidmat Awam RM115. Bermakna gaji dan elaun, anggota tersebut akan memperoleh sebanyak RM2,556 sebulan. Terima kasih Tuan Yang di-Pertua."
23,0,2,9d9ff2,"Terima kasih. Ya, Yang Berhormat Tumpat? Selepas ini Yang Berhormat Papar."
24,0,2,4223e5,Terima kasih Tuan Yang di-Pertua. Saya juga mengambil kesempatan untuk mengucapkan tahniah kepada Tuan Yang di-Pertua atas anugerah yang membawa gelaran Tan Sri.
25,0,2,9d9ff2,Terima kasih.
26,0,2,4223e5,"Soalan saya, selain perhatian terhadap soal gaji sepertimana yang dijelaskan oleh Yang Berhormat Timbalan Menteri tadi, isu sewaan rumah yang tinggi terutamanya di kawasan bandar, serta jauh dari tempat mereka bertugas juga antara isu yang perlu mendapat perhatian kementerian,
khususnya bagi anggota yang tidak menetap di kuarters dan berpangkat rendah ini.
Soalan saya, apakah langkah kementerian bagi mengatasi perkara ini? Terima kasih."
27,0,2,9d9ff2,Terima kasih Yang Berhormat Tumpat. Silakan.
28,0,2,ba6808,"Terima kasih sahabat saya Yang Berhormat Tumpat.
Saya sudah jelaskan tadi ada Elaun Perumahan RM300 dan juga Elaun Bantuan Sara Hidup (COLA) RM300. Kita juga memikirkan untuk menambah lagi skim perumahan anggota polis di seluruh negara. Kuarters-kuarters sama ada akan dibaik pulih, dinaiktarafkan dan juga kita mengadakan kuarters-kuarters yang baharu di seluruh negara. Terima kasih Tuan Yang di-Pertua."
29,0,2,9d9ff2,"Ya, Yang Berhormat Papar. Yang Berhormat Papar sudah lama bangun."
30,0,2,09431e,"Terima kasih Tuan Yang di-Pertua. Saya menyokong penuh dengan permohonan untuk kenaikan gaji dan elaun para anggota polis. Selain daripada itu, saya ingin juga mengajukan apa yang saya lihat sendiri dengan mata kepala saya ialah berkenaan dengan bangunan polis di Daerah Papar ini memerlukan bantuan untuk pembesaran dan juga pembaik pulih perabot-perabot dan juga air conditioning. Ini yang sangat penting kerana apa yang saya lihat ialah mereka ini terlalu sempit, macam jammed sedikitlah. Jadi, ini yang saya ingin mohon daripada kementerian supaya memberi perhatian kepada mereka ini supaya mereka dapat menjalankan tugasan mereka dengan baik. Kedua ialah berkenaan dengan kuarters ataupun tempat tinggal atau bangunan, di mana anggota-anggota ini tinggal. Saya juga melihat ia memerlukan pembaik pulih supaya mereka ini akan dapat tidur dan tinggal dengan hati senang. Terima kasih."
31,0,2,9d9ff2,Terima kasih.
32,0,2,ba6808,"Terima kasih Tuan Yang di-Pertua, terima kasih Yang Berhormat Papar. Memang kita sentiasa mengambil berat tentang: (i) kenaikan pangkat; (ii) perjawatan; (iii) kenaikan gaji; (iv) elaun; (v) keselesaan semasa bertugas sama ada di pondok polis, di balai polis, di IPD, IPK; dan (vi) kuarters dan perumahan. Saya akan mengambil tindakan. Sekiranya perlu, Yang Berhormat Papar sila majukan kepada saya untuk kita sama-sama bincang untuk mengambil tindakan seterusnya. Terima kasih Tuan Yang di-Pertua."
33,0,2,09431e,"Insya-Allah, permohonan akan diajukan secepat mungkin. Terima kasih."
34,0,2,9d9ff2,Terima kasih. Seterusnya Yang Berhormat Jempol.
35,0,2,214353,"Terima kasih Tuan Yang di-Pertua. SIP, PERKESO kita bicara; Bagi lindungi nasib pekerja; Soalan tiga Jempol bertanya; Silakan Menteri jawab segera."
36,0,3,3afbf5,"minta Menteri Sumber Manusia menyatakan, usaha yang telah dilakukan untuk menggalakkan caruman Skim Perlindungan Pertubuhan Keselamatan Sosial (PERKESO) dan Sistem Insurans Pekerjaan (SIP) bagi individu yang terlibat dalam bidang p-hailing dan e-hailing."
37,0,3,394de9,Assalamualaikum warahmatullahi wabarakatuh...
38,0,3,9d9ff2,Pantun moden itu.
39,0,3,0bb47c,Saya juga ingin mengambil kesempatan ini yang ada untuk mengucapkan tahniah kepada Tan Sri Tuan Yang di-Pertua. Lancar juga saya menyebut ‘Tan Sri Tuan Yang di-Pertua’.
40,0,3,9d9ff2,Terima kasih.
41,0,3,0bb47c,"Alhamdulillah atas pengiktirafan kepada Tan Sri Tuan Yang di-Pertua. Saya hendak mulakan jawapan ini- dengan izin, saya akan mulakan dengan pantun. Orang berjudi sikap haloba; Sikap tamak mata duitan; Amalan judi jangan dicuba; Bimbangnya jadi pengikut syaitan.
Amalan judi perosak keluarga; Habis berpecah tak boleh berpakat; Anak bangsa siapa nak jaga; Pabila rosak punah masyarakat."
42,0,3,8f0760,Ini bukan Kedah lah.
