record_id,author_id,author_name,party,area_id,area_name,area_state,exec_posts,service_posts,start_date,end_date
1195,2187,MOHAMED KHALED BIN HAJI NORDIN,BN - UMNO,1008.0,P.159 Pasir Gudang,Johor,Menteri Pengajian Tinggi,nan,08/03/2008,03/04/2013
1196,2187,MOHAMED KHALED BIN HAJI NORDIN,BN,1005.0,P.156 Kota Tinggi,Johor,Menteri Pertahanan,nan,19/11/2022,
1197,2190,ONG KA TING,BN - MCA,1012.0,P.163 Kulai,Johor,nan,nan,08/03/2008,03/04/2013
1198,2224,MOHAMADDIN BIN KETAPI,WARISAN,1099.0,P.188 Lahad Datu,Sabah,nan,nan,09/05/2018,24/02/2020
1199,2224,MOHAMADDIN BIN KETAPI,BERSATU,1099.0,P.188 Lahad Datu,Sabah,nan,nan,24/02/2020,28/06/2022
1200,2224,MOHAMADDIN BIN KETAPI,BEBAS,1099.0,P.188 Lahad Datu,Sabah,nan,nan,28/06/2022,28/08/2022
1201,2224,MOHAMADDIN BIN KETAPI,PBM,1099.0,P.188 Lahad Datu,Sabah,nan,nan,28/08/2022,10/10/2022
1202,2230,ROHANI BINTI HAJI ABDUL KARIM,BN - PBB,1050.0,P.201 Batang Lupar,Sarawak,"Timbalan Menteri Perdagangan Dalam Negeri, Koperasi Dan Kepenggunaan",nan,08/03/2008,03/04/2013
1203,2230,ROHANI BINTI HAJI ABDUL KARIM,BN - PBB,1050.0,P.201 Batang Lupar,Sarawak,"Menteri Pembangunan Wanita, Keluarga dan Masyarakat",nan,05/05/2013,07/04/2018
1204,2230,ROHANI BINTI HAJI ABDUL KARIM,GPS - PBB,1050.0,P.201 Batang Lupar,Sarawak,nan,nan,09/05/2018,10/10/2022
1205,2232,YONG KHOON HIAN @ YONG KHOON SENG,BN - SUPP,1045.0,P.196 Stampin,Sarawak,Timbalan Menteri Kerja Raya,nan,08/03/2008,03/04/2013
1206,2236,RICHARD RIOT ANAK JAEM,BN - SUPP,1048.0,P.199 Serian,Sarawak,Timbalan Menteri Luar Negeri,nan,08/03/2008,03/04/2013
1207,2236,RICHARD RIOT ANAK JAEM,BN - SUPP,1048.0,P.199 Serian,Sarawak,Menteri Sumber Manusia,nan,05/05/2013,07/04/2018
1208,2236,RICHARD RIOT ANAK JAEM,GPS - SUPP,1048.0,P.199 Serian,Sarawak,nan,nan,09/05/2018,10/10/2022
1209,2236,RICHARD RIOT ANAK JAEM,GPS,1048.0,P.199 Serian,Sarawak,nan,nan,19/11/2022,
1210,2242,WAN JUNAIDI BIN TUANKU JAAFAR,BN - PBB,1042.0,P.193 Santubong,Sarawak,nan,Timbalan Yang di-Pertua Dewan Rakyat,08/03/2008,03/04/2013
1211,2242,WAN JUNAIDI BIN TUANKU JAAFAR,BN - PBB,1042.0,P.193 Santubong,Sarawak,Menteri Sumber Asli dan Alam Sekitar,nan,05/05/2013,07/04/2018
1212,2242,WAN JUNAIDI BIN TUANKU JAAFAR,GPS - PBB,1042.0,P.193 Santubong,Sarawak,Menteri di Jabatan Perdana Menteri (Parlimen dan Undang-Undang),nan,09/05/2018,10/10/2022
1213,2254,WILLIAM MAWAN IKOM,BN,1054.0,P.205 Saratok,Sarawak,nan,nan,05/05/2013,07/04/2018
1214,2258,ROBERT LAU HOI CHEW,BN - SUPP,1076.0,P.212 Sibu,Sarawak,nan,nan,08/03/2008,09/04/2010
1215,2265,BILLY ABIT JOO,BN - PRS,1080.0,P.216 Hulu Rajang,Sarawak,nan,nan,08/03/2008,03/04/2013
